TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,Urban_rural_code,R_birth_2018,R_death_2018,POVALL_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),anycondition_number,Heart disease_number,COPD_number,diabetes_number,CKD_number,Obesity_number
16433,1878,1943,1966,1777,1994,2235,2258,1595,787,14076,1970,77,72,0,238,6,10.1,13.7,3801,39254,6215,267,78.7,217.1,196.7,0.339561539,6463,1356,1522,2009,504,4510
31363,4182,4215,3921,3654,4141,4041,3554,2389,1266,28738,1427,485,107,78,528,6,13.5,11.6,5939,39388,13673,530,79.0,217.1,196.7,0.648065998,12243,2285,2634,3496,862,8520
26314,2981,3336,2859,2953,3249,3627,3643,2414,1252,22951,2491,270,90,19,493,4,10.3,13.5,5537,37823,10425,426,75.8,217.1,196.7,0.543736527,11517,2268,2553,3429,829,8835
8233,993,998,996,866,798,1098,1287,750,447,1519,6597,27,22,0,68,6,12.0,11.8,2459,28524,2647,191,57.2,217.1,196.7,0.170121716,3996,802,859,1641,369,2922
14726,1888,1866,1884,1623,1601,2022,1936,1201,705,5988,8561,37,42,2,96,4,12.6,14.0,3705,34724,5686,305,69.6,217.1,196.7,0.304289127,6560,1187,1292,2265,516,5167
17209,1841,2050,1812,1914,2157,2247,2568,1734,886,12280,4523,85,64,4,253,4,10.6,12.7,3037,46027,6466,300,92.3,217.1,196.7,0.355596332,7147,1380,1501,2272,547,4918
104722,12878,13493,12814,13302,12976,13919,12637,8358,4345,72324,28491,566,1110,99,2132,4,12.2,11.3,17032,47993,43325,1825,96.2,217.1,196.7,2.163911854,41884,7367,8006,12957,2878,28130
51736,5632,6258,5964,5636,6726,7205,7208,4858,2249,47215,1855,870,303,57,1436,5,11.0,13.1,10046,41929,22286,955,84.1,217.1,196.7,1.069041307,21354,4415,4978,6307,1582,15103
659300,83866,82823,91855,89590,80221,83769,78622,43004,25550,350457,286501,1892,11676,376,8398,1,12.8,11.1,103604,55013,302359,11655,110.3,217.1,196.7,13.62337508,233701,38899,41253,68819,17072,175684
13844,1498,1745,1463,1471,1763,1903,1851,1398,752,12084,1466,40,14,2,238,6,9.7,14.1,2374,40936,5503,218,82.1,217.1,196.7,0.286064014,5923,1213,1345,1823,442,3951
92387,9570,11341,13573,10214,10553,12179,12140,8410,4407,80358,9298,417,708,52,1554,4,9.4,12.1,12645,48707,40375,1766,97.6,217.1,196.7,1.9090289,34665,6397,6987,9794,2469,25531
