TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,Urban_rural_code,R_birth_2018,R_death_2018,POVALL_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),anycondition_number,Heart disease_number,COPD_number,diabetes_number,CKD_number,Obesity_number
22601,2891,3058,2689,2622,2584,2975,2944,1786,1052,11827,10091,73,316,20,274,5,11.9,12.6,6063,36096,8943,456,61.6,228.7,202.9,0.311531231,9031,1809,2066,3224,789,6512
16226,1665,2074,2293,1721,1977,2163,2238,1406,689,15526,201,96,163,11,229,3,9.3,11.6,2067,48779,7974,300,83.2,228.7,202.9,0.2236585,6045,1107,1319,1658,435,4037
25083,2676,3024,2896,2845,3201,3652,3425,2514,850,24127,230,122,219,16,369,2,10.5,9.2,2168,68835,11639,401,117.4,228.7,202.9,0.345743015,7556,1471,1592,2190,587,5511
26575,3597,3600,3546,3081,3263,3491,2985,1944,1068,14461,11338,219,165,36,356,5,14.1,12.8,5923,38441,11012,539,65.6,228.7,202.9,0.36630868,8970,1793,2063,3258,802,6442
756558,101612,90516,112176,119720,101345,95370,76559,39317,19943,270687,415518,3540,49707,528,16578,2,14.4,6.6,106598,63477,383773,16073,108.3,228.7,202.9,10.42836358,233458,33226,34655,78586,17968,170995
20705,2161,2369,2706,2542,2862,2935,2569,1660,901,13907,6256,95,112,37,298,6,9.1,11.6,4988,35636,6804,372,60.8,228.7,202.9,0.285396847,8907,1553,1781,2732,658,6627
13706,1158,1472,1733,1710,1839,1972,1954,1260,608,6559,6856,37,98,10,146,6,6.4,8.5,3420,37278,4919,238,63.6,228.7,202.9,0.188922926,6111,1109,1237,2114,490,4790
91243,11886,14138,14666,10678,9837,10526,10380,5809,3323,24024,64673,250,917,196,1183,4,13.3,10.5,25104,38806,36395,1966,66.2,228.7,202.9,1.257689666,36296,5605,6509,11889,2866,28288
145331,19161,22336,19494,18397,21287,20034,13971,7687,2964,67867,70379,678,2492,244,3671,2,11.7,7.2,18113,60512,69898,3002,103.2,228.7,202.9,2.003236378,47928,6587,7609,13983,3248,37920
10247,1348,1442,1208,1086,1203,1361,1189,924,486,4749,5263,58,74,6,97,6,12.4,14.5,2669,34984,4351,209,59.7,228.7,202.9,0.141244216,4146,793,892,1454,359,2962
4000,578,567,509,563,544,500,406,194,139,3534,229,121,21,10,85,4,8.8,4.3,970,38667,1839,61,65.9,228.7,202.9,0.055135831,1409,248,299,413,103,1062
62190,8829,9115,7809,9035,8522,8178,6085,3295,1322,51087,8758,282,704,78,1281,3,12.5,7.8,5080,65793,28936,989,112.2,228.7,202.9,0.857224339,19050,2783,3379,4812,1215,15272
19120,2314,2201,2287,2162,2133,2697,2557,1791,978,13040,5523,86,203,10,258,6,11.5,13.8,3476,39681,7465,378,67.7,228.7,202.9,0.263549274,7607,1487,1679,2496,619,5583
22612,3060,3148,2998,2987,2573,2800,2624,1615,807,14192,7880,105,162,16,257,6,12.7,12.7,5346,37574,7834,490,64.1,228.7,202.9,0.311682855,8989,1555,1896,2775,679,6420
10721,1534,1576,1273,1319,1271,1374,1167,797,410,6985,3368,58,137,38,135,6,13.4,11.1,2742,37319,4735,180,63.6,228.7,202.9,0.147777812,4080,749,878,1311,324,3078
25964,2183,2563,2355,2325,2675,3724,5059,3504,1576,25143,217,120,173,13,298,6,7.5,13.5,4318,43439,10765,442,74.1,228.7,202.9,0.357886682,9806,2251,2383,3176,851,6410
113459,11800,17329,11992,11225,14719,17535,15113,9488,4258,76556,27536,512,6055,138,2662,2,7.9,7.6,5689,95021,55758,2010,162.1,228.7,202.9,1.563914074,31502,5497,5342,9793,2542,25860
97927,12115,13863,13206,12000,11856,12479,11210,7247,3951,78802,14580,754,1621,279,1891,4,12.0,11.3,19427,44906,42368,1906,76.6,228.7,202.9,1.34982164,36229,6227,7216,10257,2599,25125
236612,32200,38480,21375,31429,40986,32814,20220,13611,5497,186831,9792,1174,34318,163,4334,2,10.3,5.4,11808,105921,114331,3717,180.6,228.7,202.9,3.261449835,55825,8682,8922,15220,3949,45013
23023,2740,2971,3035,2559,2657,3123,2921,2009,1008,19979,2241,96,282,17,408,6,12.5,12.1,3634,42904,9610,383,73.2,228.7,202.9,0.317348062,8585,1709,2010,2637,678,5693
1050114,124438,136568,169167,162683,147080,133488,97019,52679,26992,478685,467706,2950,78463,366,21944,1,12.1,7.1,137929,70808,532817,22310,120.8,228.7,202.9,14.47472711,271695,41504,43493,83072,22450,217487
30816,3194,3300,3020,3030,3644,4390,5209,3586,1443,29447,410,215,223,151,370,6,10.3,12.2,5309,47757,11485,507,81.4,228.7,202.9,0.424766445,11421,2482,2748,3570,948,7946
2995,320,408,348,312,429,430,370,240,138,2662,271,15,6,2,39,6,9.9,10.3,509,42820,1241,54,73.0,228.7,202.9,0.041282954,1164,227,276,353,90,825
85219,9886,10646,10203,9906,9970,11449,11459,8010,3690,58745,22920,423,1368,161,1602,4,10.8,11.2,13913,53906,38749,1476,91.9,228.7,202.9,1.174655104,27421,5407,5889,8949,2394,21210
57685,7255,8250,7194,7216,7905,7949,6178,3935,1803,52939,2515,349,713,209,960,5,11.9,9.4,9526,49101,26940,1053,83.7,228.7,202.9,0.795127609,21406,3716,4474,5856,1493,15535
24748,3249,3431,2738,2924,2894,3389,3068,2029,1026,16468,7346,313,163,71,387,6,12.6,10.9,4889,41002,10271,413,69.9,228.7,202.9,0.341125389,9455,1766,1997,3106,747,6830
17698,1848,1717,1597,1827,1733,2283,3145,2643,905,11175,5998,102,183,24,216,6,8.8,13.4,3365,54016,6697,297,92.1,228.7,202.9,0.243948486,7519,1623,1638,2595,661,4823
927781,128890,144707,122469,127390,137896,125418,83368,40539,17104,505703,272189,7876,114724,977,26312,2,12.4,4.9,84763,72008,470913,17073,122.8,228.7,202.9,12.7884942,258567,37762,39507,75829,17990,219205
45388,5392,6110,5967,5486,5658,5727,5367,3827,1854,41081,1858,469,1072,132,776,5,11.9,10.4,6363,51829,18670,715,88.4,228.7,202.9,0.625626279,15848,2898,3329,4379,1164,11932
202148,26895,29555,26859,25271,26410,25761,20782,14000,6615,176120,16296,1696,4230,404,3402,4,12.8,7.9,26249,61631,98934,3235,105.1,228.7,202.9,2.786399511,62989,11404,12509,18986,4747,47226
8348,661,768,1162,992,936,1219,1304,856,450,2193,5940,48,84,2,81,5,6.3,15.0,2187,31716,2330,149,54.1,228.7,202.9,0.11506848,4018,801,877,1572,368,2934
29533,3748,3969,3645,3609,3947,4070,3287,2216,1042,27289,1396,109,241,14,484,2,11.5,12.2,4626,47662,12026,482,81.3,228.7,202.9,0.407081627,9460,1829,2205,2743,733,6731
34475,3633,4538,3629,3744,4628,5294,4870,2971,1168,27451,5769,173,394,47,641,3,8.3,10.0,2958,74686,16165,571,127.4,228.7,202.9,0.475201947,11022,1886,1986,3372,822,8115
26099,2851,3146,3013,2800,3081,3655,3576,2671,1306,20327,4995,56,281,9,431,6,9.7,11.3,3796,47171,11258,423,80.4,228.7,202.9,0.359747516,9888,2092,2379,3335,849,6952
11879,1399,1573,1504,1312,1498,1725,1509,945,414,10332,1166,60,64,2,255,2,10.7,9.7,2004,46218,5006,202,78.8,228.7,202.9,0.163739635,4390,795,961,1267,319,3040
230220,28592,36779,29945,28642,34215,32769,22217,12276,4785,107981,107316,830,7912,300,5881,2,10.8,7.1,17086,72970,109127,4716,124.5,228.7,202.9,3.173342776,73749,9929,11361,22156,4928,57204
155469,21457,21938,21350,22540,19148,20716,15240,8707,4373,94760,50214,750,4973,304,4468,4,12.5,8.2,18519,60728,67394,2803,103.6,228.7,202.9,2.142978143,54414,7542,8559,14904,3488,39935
9398,1004,1218,1323,1208,1235,1181,1001,782,446,6552,2636,18,78,3,111,6,10.3,12.2,2040,38156,3153,187,65.1,228.7,202.9,0.129541636,3865,710,823,1198,296,2712
70422,9624,9762,8411,9629,9701,9227,7181,4991,1896,62271,5112,258,1439,46,1296,5,12.7,8.9,6059,68984,35165,1083,117.7,228.7,202.9,0.97069388,20697,3605,4249,5853,1527,14813
14040,1753,1892,1531,1625,1708,2065,1856,1094,516,10870,2805,68,39,2,256,2,10.6,9.8,2138,51241,6686,240,87.4,228.7,202.9,0.193526768,5175,1017,1227,1703,423,3724
15029,2134,2245,1794,1801,1900,1908,1645,1152,450,12327,2283,124,104,16,175,6,13.9,10.3,3063,37211,5781,296,63.5,228.7,202.9,0.207159103,5622,1044,1284,1718,431,4162
15430,1968,2021,1931,1792,1738,2117,1970,1286,607,6965,8158,36,98,12,161,6,12.6,14.8,3328,38274,6388,359,65.3,228.7,202.9,0.21268647,6364,1124,1312,2213,521,4509
8683,941,1038,1348,1126,1099,1137,1004,666,324,4727,3760,40,52,20,84,6,10.3,11.7,2374,31419,3033,173,53.6,228.7,202.9,0.119686106,3689,659,779,1205,291,2761
9708,942,1072,1211,1299,1359,1365,1192,823,445,6203,3322,42,42,3,96,5,11.1,11.7,2415,34849,3983,164,59.4,228.7,202.9,0.133814663,4320,759,853,1302,313,3003
28616,3226,4085,3267,3346,3735,4049,3604,2256,1048,20766,7186,101,180,5,378,4,7.9,10.1,4098,55737,13378,508,95.1,228.7,202.9,0.394441738,11266,1794,2012,3177,766,7762
19000,2164,2865,2796,2125,2149,2454,2309,1432,706,12637,5822,72,146,7,316,2,10.7,11.2,3064,48323,7748,370,82.4,228.7,202.9,0.261895199,6835,1182,1372,2058,517,4949
10340,1400,1311,1391,1500,1243,1433,1092,666,304,7520,2294,105,130,4,287,4,11.9,9.3,2043,41564,3676,169,70.9,228.7,202.9,0.142526124,3626,639,767,1106,272,2705
47325,6374,6366,5842,5580,5668,6207,5541,3694,2053,28376,17647,170,541,10,581,5,13.2,12.1,11375,42114,18585,939,71.8,228.7,202.9,0.652325805,17581,3303,3797,5980,1447,12108
29764,3992,4496,3465,4276,4318,3704,3193,1674,646,21837,6550,96,849,27,405,4,10.6,8.4,3579,66090,14355,530,112.7,228.7,202.9,0.410265721,8916,1373,1600,2500,619,6930
61497,11238,7650,14010,8729,5651,5842,4731,2703,943,29042,27338,440,1343,389,2945,4,22.8,5.7,9562,47685,24597,1109,81.3,228.7,202.9,0.847672056,20685,2435,2935,5308,1260,16418
7915,819,858,870,798,838,1187,1287,874,384,5382,2307,43,37,5,141,3,9.3,12.6,1346,46967,3432,179,80.1,228.7,202.9,0.109100026,3148,637,701,1080,264,2152
18998,2853,2741,2661,3098,2563,2242,1742,729,369,12623,5141,154,251,87,742,4,12.4,5.2,3134,46428,7710,318,79.2,228.7,202.9,0.261867631,6468,912,1142,1756,423,4850
116321,15904,17070,24343,14807,12114,12169,10324,6338,3252,67499,43106,533,2415,190,2578,4,13.6,8.1,28539,41820,49640,2106,71.3,228.7,202.9,1.603363761,36330,5894,6984,11501,2785,28482
32955,3080,4827,6120,3340,3500,4090,4151,2765,1082,31250,580,244,248,45,588,6,8.8,9.5,4494,55583,16114,600,94.8,228.7,202.9,0.454250331,11176,2078,2404,3095,838,8147
21531,2961,3014,2561,2412,2447,2900,2676,1777,783,11944,8968,93,112,20,394,3,12.7,12.4,4223,42768,8474,499,72.9,228.7,202.9,0.296782396,8384,1501,1751,2736,667,6291
14340,1173,1402,1511,1342,1623,2179,2490,1818,802,9111,4849,91,64,16,209,4,7.7,9.0,3055,42513,5943,247,72.5,228.7,202.9,0.197661956,6275,1243,1288,2153,523,4269
13143,1345,1440,1973,1768,1544,1859,1748,1050,416,4781,7923,75,196,18,150,6,9.5,13.3,3417,32868,4436,295,56.1,228.7,202.9,0.181162558,5839,1028,1190,2068,474,4048
29650,3655,3802,3611,3504,3790,4206,3720,2371,991,25656,2756,126,582,9,521,4,11.1,9.0,4722,51338,13206,483,87.6,228.7,202.9,0.40869435,10218,1917,2261,3095,782,7323
8351,884,1067,892,847,991,1342,1183,819,326,5347,2647,84,72,59,142,3,9.1,10.7,1884,39114,3261,174,66.7,228.7,202.9,0.115109832,3212,657,742,1143,279,2328
21068,2456,2552,2500,2377,2319,3021,2923,1945,975,12267,8216,110,124,8,343,2,10.7,12.8,5071,38886,8500,447,66.3,228.7,202.9,0.290400424,8793,1613,1856,2902,703,6499
5686,690,714,626,604,642,769,727,537,377,3936,1608,24,32,2,84,6,10.8,13.4,1246,42483,2709,104,72.5,228.7,202.9,0.078375584,2120,437,478,706,182,1498
22192,2729,2858,2966,2809,2896,2914,2543,1663,814,10906,10678,139,200,16,253,6,11.4,11.4,5849,36788,7956,452,62.7,228.7,202.9,0.305893593,9030,1565,1865,2980,711,6915
27520,2939,3344,3328,3163,3516,3960,3804,2302,1164,20475,6254,108,284,11,388,4,9.3,11.7,3411,59362,12564,479,101.2,228.7,202.9,0.37933452,10012,1755,1955,2969,749,7310
9193,1010,1218,1399,1056,1140,1228,1100,725,317,6627,2368,12,59,2,125,5,9.7,8.3,1847,41834,3582,217,71.3,228.7,202.9,0.126715925,3357,606,701,1049,260,2482
18853,2205,2530,1972,2053,2329,2685,2485,1743,851,14090,4196,124,129,8,306,2,11.1,8.6,2374,57978,8744,323,98.9,228.7,202.9,0.259868957,6332,1154,1253,1967,492,4498
39921,5153,5685,5138,4765,5276,5668,4241,2859,1136,38199,486,396,232,116,492,4,12.1,10.1,5987,46810,15096,847,79.8,228.7,202.9,0.550269381,13392,2566,3216,4103,1018,9820
194160,27633,25743,30396,28071,22456,22936,19437,11206,6282,88457,92819,990,5426,483,5985,3,13.9,9.8,37759,46628,75325,4029,79.5,228.7,202.9,2.676293256,69475,10041,11067,20949,4922,54622
109541,14552,17250,14369,13477,15237,14672,10700,6487,2797,54252,51098,505,1295,118,2273,2,12.5,8.5,15946,56598,49474,2306,96.5,228.7,202.9,1.509908527,39144,5517,6492,11412,2665,30504
39272,5078,6440,3713,4534,5838,5284,4462,2693,1230,34842,2096,108,1633,20,573,4,9.5,6.4,2215,99497,19105,582,169.7,228.7,202.9,0.541323593,9888,1678,1678,2718,728,7710
15054,1661,1803,1793,1793,1889,2213,1939,1336,627,11960,2583,58,156,7,290,4,9.3,10.2,2049,51105,6863,261,87.2,228.7,202.9,0.207503701,5635,1066,1224,1733,437,4203
164044,21900,25032,21241,22461,25179,22527,14603,8035,3066,123224,34162,693,2008,147,3810,2,11.0,6.6,12654,73309,80981,2887,125.0,228.7,202.9,2.261175581,51513,6899,8429,12599,3196,39996
27297,3114,3991,4271,3129,2918,3733,3256,1975,910,14130,12163,138,318,19,529,4,11.6,9.9,6240,46525,11304,607,79.3,228.7,202.9,0.376260697,10555,1694,1890,3188,782,8142
31980,3305,3804,3499,3395,3865,4678,4838,3326,1270,30748,394,169,214,14,441,2,9.6,11.2,3462,65062,14626,532,111.0,228.7,202.9,0.440810972,11480,2152,2362,3234,836,8230
19389,2539,2705,2277,2331,2544,2537,2214,1589,653,17086,1698,168,128,17,292,5,12.0,10.4,3490,44389,8352,334,75.7,228.7,202.9,0.267257159,6896,1253,1493,1961,506,4987
18634,2109,2714,2145,2199,2666,2690,2086,1406,619,16463,1733,58,88,6,286,2,10.2,9.9,1947,66901,8437,319,114.1,228.7,202.9,0.256850271,6590,1050,1234,1722,434,4782
42470,5770,6006,5488,5560,5052,5511,4592,3084,1407,35498,5451,341,314,83,783,5,13.8,12.1,9079,43679,17746,776,74.5,228.7,202.9,0.58540469,15474,2656,3194,4417,1109,11282
11069,1002,1221,1312,1308,1429,1527,1519,1144,607,7220,3497,49,123,10,170,4,7.5,10.1,2361,40582,3958,176,69.2,228.7,202.9,0.152574629,4759,917,1043,1557,392,3491
21809,2304,2474,2209,2334,2343,3128,3548,2447,1022,15414,5833,108,140,56,258,6,9.7,11.4,3488,51205,7815,408,87.3,228.7,202.9,0.300614337,8577,1686,1792,2764,695,5919
2279,214,237,173,189,217,304,446,333,166,1151,1077,16,6,0,29,6,10.4,11.7,580,33908,784,46,57.8,228.7,202.9,0.03141364,1096,247,263,415,103,720
16867,1442,1740,1727,1606,1949,2334,2810,2275,984,16007,266,93,182,11,308,6,8.8,13.0,2346,44213,6808,284,75.4,228.7,202.9,0.232494017,6805,1517,1603,2194,579,4637
6833,777,826,795,702,619,923,1038,712,441,2520,4205,8,36,7,57,6,10.4,11.1,2008,28298,2343,146,48.3,228.7,202.9,0.094185784,3172,669,732,1252,305,2260
201554,26291,26266,34907,27563,21408,24529,22269,12132,6189,75972,115142,882,3654,470,5434,3,14.2,10.0,41554,40168,82166,4460,68.5,228.7,202.9,2.77821184,76746,11777,13230,24796,5705,57687
90594,11256,13602,11463,10401,11771,13152,10613,5801,2535,34633,51607,506,1687,139,2022,2,10.8,7.9,11803,59673,42903,1972,101.8,228.7,202.9,1.248743877,34421,4707,5141,10059,2349,27290
5236,596,847,540,543,793,735,544,454,184,3990,1054,6,44,0,142,5,9.7,7.8,945,45378,2091,102,77.4,228.7,202.9,0.072172803,1924,342,394,604,147,1402
13938,1652,1547,1822,1561,1633,2031,2001,1146,545,7837,5760,65,91,4,181,6,12.1,12.2,3493,39048,5042,288,66.6,228.7,202.9,0.192120805,5485,1019,1168,1891,453,4115
8315,917,992,930,835,915,1164,1209,894,459,5360,2735,26,64,2,128,6,11.1,12.2,2083,36869,2900,162,62.9,228.7,202.9,0.11461361,3520,677,741,1128,285,2516
66100,8473,8536,8757,8121,7723,8423,8046,5489,2532,40895,22844,325,733,67,1236,2,12.3,12.2,11184,43510,27209,1342,74.2,228.7,202.9,0.911119614,26016,4519,5175,7929,1945,18347
26035,3105,3488,3535,2734,2919,3418,3431,2394,1011,22138,2870,132,238,22,635,5,11.1,13.7,4092,45850,10468,496,78.2,228.7,202.9,0.358865343,9425,1716,1996,2697,700,6621
6199,432,456,1502,1152,654,704,640,398,261,2782,3021,67,191,1,137,6,6.8,10.3,1757,33053,2242,110,56.4,228.7,202.9,0.085446755,2914,491,548,950,229,2213
29733,3677,4261,4951,3240,3192,3719,3369,2222,1102,12931,15802,163,430,64,343,5,12.7,12.3,7208,37562,12025,757,64.1,228.7,202.9,0.409838419,12408,1935,2230,3912,913,8535
6272,524,617,659,601,674,1070,1140,696,291,2675,3450,42,18,3,84,6,8.1,13.1,1550,37265,2692,143,63.6,228.7,202.9,0.086452984,2888,566,617,1100,255,2055
1608,157,138,170,164,179,253,254,180,113,675,872,3,25,0,33,6,7.4,13.0,395,34090,555,30,58.1,228.7,202.9,0.022164604,751,157,170,296,70,525
25391,2806,2900,3963,3816,3507,3304,2680,1634,781,17057,7643,172,159,45,315,6,10.6,10.1,5298,41440,9285,407,70.7,228.7,202.9,0.349988474,9420,1698,2043,2990,733,6802
8039,849,945,991,793,1052,1177,1128,755,349,4727,3118,24,67,1,102,6,10.3,10.6,1813,36310,2602,182,61.9,228.7,202.9,0.110809237,3555,687,789,1220,296,2524
15876,1273,1564,2061,2581,2329,2132,1942,1228,766,9578,5908,57,114,11,208,6,8.2,10.4,4042,34297,4078,297,58.5,228.7,202.9,0.218834115,7452,1358,1532,2450,573,5469
8611,1061,1117,1105,967,847,1195,1145,763,411,3194,5199,49,36,14,119,4,10.6,11.9,2311,35290,3432,241,60.2,228.7,202.9,0.118693661,3539,678,770,1296,315,2583
44448,5732,5826,5217,5315,5226,6083,5512,3673,1864,26967,16110,269,438,27,637,5,12.5,11.9,8846,41642,16127,798,71.0,228.7,202.9,0.612669358,14933,2982,3370,5185,1346,11938
40571,5585,5999,5666,5255,4756,4875,4257,2782,1396,26715,12422,190,664,25,555,5,13.6,10.1,7636,45680,18561,776,77.9,228.7,202.9,0.559228954,14902,2457,2860,4348,1092,11243
26887,3826,3957,3295,3331,3147,3314,3008,1980,1029,18841,7134,225,225,37,425,5,13.6,12.3,6615,37148,11251,694,63.4,228.7,202.9,0.370609275,9774,1790,2122,3171,781,7158
11852,806,1525,1255,805,1014,1392,2092,1940,1023,11439,151,47,89,8,118,6,7.8,15.4,1704,45853,3673,213,78.2,228.7,202.9,0.163367468,4572,1100,1075,1496,418,2866
6809,831,874,930,872,762,820,875,521,324,4522,2161,22,25,2,77,6,10.8,11.9,1684,35069,2547,157,59.8,228.7,202.9,0.093854969,2525,478,565,811,207,1848
70034,9058,9790,9925,9055,8469,9090,7682,4532,2433,41288,25663,279,1524,123,1157,5,12.6,10.4,13643,45234,35295,1356,77.1,228.7,202.9,0.965345704,26982,4031,4847,7532,1836,21815
7912,1051,1051,1040,926,848,976,912,716,392,4465,3224,41,74,14,94,6,13.1,13.0,2109,33261,3023,162,56.7,228.7,202.9,0.109058675,3182,593,667,1058,261,2304
8188,849,863,862,880,886,1300,1290,903,355,4676,3319,31,26,3,133,4,8.6,14.8,1719,42054,2753,172,71.7,228.7,202.9,0.112863047,3624,728,837,1307,313,2536
24001,1844,2370,2061,1974,2248,3413,4609,3755,1727,23205,213,119,158,5,301,6,7.1,13.0,3268,45943,9941,376,78.4,228.7,202.9,0.330828772,8942,2146,2158,2980,812,6241
26215,3258,3161,3320,2846,3223,3745,3376,2185,1101,18027,7465,126,190,16,391,5,11.8,14.1,5566,40965,10875,501,69.9,228.7,202.9,0.361346455,9557,1898,2201,3181,799,6505
69410,7951,8633,8166,8327,9108,9452,8847,5920,3006,64322,3125,264,504,46,1149,3,10.5,11.7,10542,43767,29961,1206,74.6,228.7,202.9,0.956744514,27267,4872,5708,7560,1928,17381
93503,11758,13652,11486,11298,12455,12963,10119,6747,3025,72660,17264,381,1511,105,1582,2,12.2,9.2,10993,65416,43654,1608,111.6,228.7,202.9,1.288841411,31082,5052,5846,8739,2193,23520
35680,4843,4536,4804,4446,4180,4473,4209,2612,1577,23701,10759,174,336,34,676,5,13.2,12.6,7827,38357,15030,616,65.4,228.7,202.9,0.491811616,13358,2422,2831,4177,1040,9979
5251,550,601,614,513,575,773,791,542,292,2039,3100,18,35,0,59,6,11.0,13.1,1330,38352,2611,137,65.4,228.7,202.9,0.072379563,2301,464,514,873,209,1624
20386,2381,2454,2742,2555,2382,2994,2491,1516,871,9037,10949,37,124,3,236,6,10.3,11.0,4787,39444,6799,358,67.3,228.7,202.9,0.280999765,7885,1437,1651,2773,666,5964
29808,3903,3994,3727,3917,3829,3910,3359,2174,995,22776,5996,195,180,29,632,5,12.4,11.5,5147,44607,10868,530,76.1,228.7,202.9,0.410872216,10765,1960,2344,3316,814,8180
2611,238,329,285,225,309,406,388,265,166,1444,1100,13,12,0,42,6,8.1,5.8,592,38187,938,63,65.1,228.7,202.9,0.035989914,1153,238,253,418,101,795
7879,707,794,1355,1221,1246,999,768,524,265,4763,2978,8,27,3,100,6,7.7,7.7,2116,32691,1547,123,55.8,228.7,202.9,0.108603804,3314,599,700,1053,254,2523
29970,2989,3755,3531,2910,3534,4206,4272,3323,1450,28503,613,171,182,25,476,6,9.0,10.0,4118,51579,15612,491,88.0,228.7,202.9,0.413105217,10650,2122,2351,3148,831,6755
104062,14094,15540,14190,13285,13481,13279,10197,6563,3433,94387,4539,1498,1651,228,1759,4,12.8,8.0,14567,47074,43107,2149,80.3,228.7,202.9,1.434386222,34837,6299,7307,10829,2634,24470
8812,933,921,1256,1273,1208,1108,985,719,409,5511,3071,28,66,1,135,6,9.8,12.0,2101,35961,2539,140,61.3,228.7,202.9,0.121464237,3662,650,717,1117,270,2649
9876,1109,1201,1059,988,1063,1407,1376,1062,611,5465,4090,24,85,2,210,6,9.2,14.2,1965,39361,3713,178,67.1,228.7,202.9,0.136130368,4156,853,940,1502,371,2959
9036,1081,1175,985,1038,957,1327,1245,793,435,5324,3468,47,41,2,154,6,11.3,14.2,2062,41036,3663,170,70.0,228.7,202.9,0.124551843,3604,690,781,1229,298,2549
20299,2435,2532,2443,2283,2367,2949,2664,1826,800,14106,5724,73,136,14,246,4,10.0,11.4,4128,48708,8778,404,83.1,228.7,202.9,0.27980056,7266,1433,1669,2438,608,5185
200983,24511,23156,21808,24757,22960,25710,31660,17398,9023,68648,1631,1134,42587,26077,60906,5,11.3,10.1,30903,56383,88577,2728,70.0,314.1,273.7,3.112744819,59820,12335,10334,19227,5422,39987
980080,120970,108421,147222,138752,116349,117704,107871,72320,50471,212694,27758,3210,420967,94079,221372,3,12.6,8.7,73345,83695,454330,10863,103.9,314.1,273.7,15.17908948,272682,45399,34041,95006,22187,186128
88,0,0,0,11,9,18,24,6,20,24,0,0,7,43,14,4,0.0,0.0,0,0,0,0,0.0,314.1,273.7,0.001362909,41,10,7,13,5,25
72133,8896,8198,7835,9282,8660,9469,10374,6040,3379,23821,477,349,22389,6652,18445,5,11.6,9.5,6021,73981,35193,907,91.9,314.1,273.7,1.117167233,19376,3764,3056,6211,1775,12799
167207,20196,19358,18063,23023,21241,23025,22483,13072,6746,58362,1272,936,48701,17955,39981,4,11.1,8.1,14130,78503,84028,2109,97.5,314.1,273.7,2.589635556,44759,8376,7107,13553,3947,29836
469966,57699,66412,61819,68530,62584,57814,51065,29795,14248,431733,6299,3762,13198,1084,13890,3,10.8,6.5,44434,66827,238510,6015,120.4,192.6,181.6,12.05585085,118252,20591,19566,30933,9295,89557
4250,396,421,315,362,411,603,977,542,223,4016,15,64,35,17,103,6,7.9,6.7,554,45311,1628,94,81.6,192.6,181.6,0.109023559,1680,374,347,538,144,1157
87138,12450,13165,12996,12203,9626,9204,9434,5374,2686,78998,972,3238,1482,260,2188,4,13.6,7.8,11768,51300,40547,1139,92.4,192.6,181.6,2.235316451,24133,4214,4281,6742,1843,19351
6050,877,886,580,682,639,707,825,549,305,5862,24,56,33,5,70,6,13.7,10.8,642,53780,2753,82,96.9,192.6,181.6,0.155198243,1840,369,351,538,150,1410
9226,1127,1126,874,904,967,1324,1529,992,383,7994,42,783,34,9,364,6,10.9,11.9,1342,48451,3835,186,87.3,192.6,181.6,0.236670908,3311,705,702,1026,278,2357
46236,7446,8017,5423,5795,5163,5074,4960,2836,1522,41092,276,3415,508,78,867,5,14.0,7.8,5510,50941,22724,633,91.7,192.6,181.6,1.186073715,14268,2317,2270,3811,1003,11009
22601,2389,3089,2185,2608,2907,3317,3281,2081,744,21388,145,394,270,40,364,5,8.6,4.8,1575,76113,12032,291,137.1,192.6,181.6,0.579774462,6173,1302,1206,1996,564,4720
7634,593,833,558,667,862,1320,1633,894,274,7220,39,95,58,27,195,3,7.3,7.3,974,56837,3188,141,102.4,192.6,181.6,0.195831965,2733,559,500,829,223,1992
44727,4605,5020,3950,4672,5008,6351,8155,4950,2016,42724,139,417,331,66,1050,5,9.9,10.0,6240,51373,18807,803,92.5,192.6,181.6,1.147363939,13896,3227,3070,4613,1297,10738
116854,19970,18817,15044,16306,12866,12328,11255,6724,3544,110351,855,1518,1373,160,2597,4,16.4,7.3,12262,60444,54077,1326,108.9,192.6,181.6,2.997609177,32431,4982,4974,8372,2221,25002
11948,1455,1586,1082,1230,1353,1603,1921,1189,529,11287,69,233,94,14,251,6,12.4,10.3,1603,47118,5061,235,84.9,192.6,181.6,0.306497291,3743,814,791,1197,327,2866
2611,321,359,244,253,266,324,421,280,143,2489,13,34,9,5,61,4,11.9,7.7,392,50050,1338,44,90.1,192.6,181.6,0.066978944,761,180,165,256,72,570
1127,132,150,72,125,145,149,192,119,43,1059,6,16,5,0,41,5,9.0,7.2,109,53866,674,16,97.0,192.6,181.6,0.028910483,418,87,84,128,34,309
223499,34250,35785,30225,29205,27160,24607,21896,14170,6201,208456,1851,3901,2398,755,6138,3,14.2,6.8,25416,53381,97188,3087,96.1,192.6,181.6,5.733330939,68964,11389,11833,18934,4963,53397
