total_pop,poverty_pop,Employed_2018,Unemployed_2018,other_diseases_num,Obesity_number
-0.22976344905224463,-0.2017943828563894,-0.23097365496563602,-0.1776288892509944,-0.21593977599724573,7930
-0.16128005389451588,-0.1312756891782238,-0.17589130485931984,-0.1321167252316908,-0.13525707545637342,13713
-0.198763741670673,-0.203665660565761,-0.20492962517313706,-0.1939021339439431,-0.18871364295703622,10238
-0.048114724401703106,-0.10446760199396585,-0.04998224722101766,-0.0819739631290278,-0.05756147065476982,25735
0.07001155880064037,0.17514603573137094,0.04683123789464665,0.07189419604088529,0.10031898539782798,38882
2.1511608220294107,1.4971223775019784,2.919764252175883,1.5138624391989959,1.788992661083783,128455
-0.2473449578289904,-0.20061466430048125,-0.2476798494994922,-0.2247286868988784,-0.22791927453493793,5185
-0.29597620041126943,-0.2789642483928648,-0.28927930442855293,-0.27222539295390746,-0.2970580946667614,640
1.4421474322039907,0.4344400383299447,1.5815740240862959,1.4130477037841431,1.3574506735013077,148994
-0.2916961619167724,-0.26596700430277315,-0.28915334956914757,-0.2662717668467311,-0.2884701944163639,1227
0.48577005136284473,0.6308428379135522,0.46409678622107164,0.7928121662187497,0.4995630002994603,71587
-0.27942023332573757,-0.26346518736524377,-0.2754986977654303,-0.25568754265619537,-0.27533941939582857,2523
-0.2983357800747941,-0.2805507664508103,-0.2931438285239446,-0.2734161181753427,-0.2982404867302219,539
0.1977651493698266,0.33066548536023,0.14863139039858678,0.2858278274920886,0.35481331926739784,54021
-0.2705099713690119,-0.2638516468921792,-0.26224481142345735,-0.2552906342490503,-0.27197893668915124,3202
-0.3014652108181731,-0.2815270852556998,-0.2959205606517446,-0.27592987142059494,-0.3012898136307254,205
-0.2506717150224404,-0.24050135547523832,-0.2465290801021978,-0.23266685504178017,-0.24269917532819452,5236
1.5825160193488403,1.9519852407049831,1.5028178856326544,1.68651759630711,1.587239236360676,145053
1.3088492463123877,0.5249325875581417,1.557745654775155,1.060460735436922,0.7503545800755617,103855
-0.19100408746506534,-0.12926203164313918,-0.19167001361028205,-0.17551204441288726,-0.16848851555573774,11243
-0.229035286659025,-0.15002914622214322,-0.2335213782581535,-0.1863608742081864,-0.2051115539423967,7158
-0.26753895763484475,-0.235131602048346,-0.27076966531684726,-0.24576483247756814,-0.25775911634700754,3723
-0.2936082830104178,-0.2698722795223312,-0.28984610129587707,-0.2711669705348539,-0.29117724993007615,952
-0.044668459639900265,0.06612376918537508,-0.07275145066897727,-0.01952704040486703,0.016649189117686973,28435
-0.2794924937159044,-0.253640979391043,-0.2821571296512681,-0.2661394640443494,-0.27393921826804635,2555
-0.23769541649594245,-0.2452609096490747,-0.22024459103265226,-0.23015310179652795,-0.2479888240331495,6487
0.05181305746170088,0.17156620011344273,0.0010752726052090892,0.08777053232668888,0.09089096447076114,35068
0.06129028555665868,-0.02390096061547898,0.047100323276103556,-0.012382689076255416,0.1027460006859838,38982
-0.17782490399694514,-0.16782662443627502,-0.17235884357508774,-0.1284122467650033,-0.17791653648280456,11842
-0.2909791165066553,-0.2690383405431548,-0.28708654483072327,-0.26733018926578467,-0.2896837020604418,1281
-0.3012512088934483,-0.283154283263849,-0.2955140699691182,-0.27645908263012176,-0.3011031201470211,239
-0.018435158763564007,-0.0018320876299555593,-0.03624744232495151,0.005875097652418709,0.01528010357052215,28992
2.0053449131642918,1.1928363499780794,2.1908978321223644,1.8328444957412664,1.609144605115313,205361
-0.15142762761984568,-0.15779901671105562,-0.13596361442782115,-0.13052909160311044,-0.14820115699320446,13952
-0.15973201399748024,-0.17677621348109557,-0.16353627819583055,-0.006958274178605857,-0.11733450102076122,15623
0.787593363352382,1.023526397230156,0.7475581973128314,0.59475487105335,0.8983402814918319,104680
-0.07503171973884863,0.03512564713013297,-0.09740997700801726,-0.09771799661244969,-0.0013667320597773817,24538
-0.18032622519502783,-0.198845086466619,-0.18454211361211514,-0.17524743880812388,-0.17458716935674465,11859
-0.284470122900089,-0.2672687627092925,-0.27762847993355727,-0.2589951127157378,-0.2713255094961862,2279
-0.28654066100294634,-0.2719266170076196,-0.2827869039482949,-0.26812400608007486,-0.2837717417431392,2013
-0.2644790080358569,-0.2571801350587675,-0.25711501351313,-0.25687826787763063,-0.2659113984687617,3713
-0.29781606111474807,-0.27538441277493664,-0.2933155851504065,-0.2736807237801061,-0.2945999637979882,615
-0.2787004086698449,-0.2446710503711206,-0.27914566346730363,-0.2544968174347601,-0.26304876505196256,2959
-0.27742751410459837,-0.2625702284607617,-0.2725502090111685,-0.25568754265619537,-0.2761173089112631,2604
1.2254079503901243,1.305194372440781,1.311263445360632,0.7461092769780109,0.928211238884519,127859
0.5162055718519599,0.45644789139016256,0.5213146437163969,0.28080032100158414,0.47756428480297103,70969
5.7316575963044665,6.1736487729725535,4.982154845300108,4.852391354498727,6.052076130310097,554966
3.8260343792824862,3.3635795127744075,3.738087248511616,3.1681766801797298,4.798865005364408,352328
0.14961471630673456,0.07090366333431333,0.17514488830341476,0.08777053232668888,0.1013457995582016,43398
-0.29394457174927113,-0.2764217515051317,-0.2866170767183942,-0.27169618174438065,-0.29391542102440577,1044
-0.30028958985507426,-0.28191354478263525,-0.2938537559133203,-0.27579756861821325,-0.3007297331796125,319
-0.12237895077277855,-0.16422644884324494,-0.12312766921023868,-0.06450999321464386,-0.0880236240791871,19571
-0.27060168647960825,-0.2317551661814364,-0.27446243278577714,-0.2444418044537512,-0.259501588861581,3911
0.687026354960579,0.5408587880629019,0.5598053037064981,0.44353276793107094,0.9597624376305446,99150
